               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.014653,           0.0055173,           0.0016939,             0.99703,                   1,               0.995,             0.88925,            0.011923,           0.0022668,          0.00042311,           0.0035155,           0.0035155,           0.0035155
                 133,            0.015372,           0.0050905,           0.0018682,             0.99662,                   1,               0.995,             0.89984,            0.012001,           0.0022326,           0.0004298,            0.003466,            0.003466,            0.003466
                 134,            0.014496,           0.0051958,           0.0012918,             0.99564,                   1,               0.995,              0.9155,            0.010771,           0.0022651,          0.00042297,           0.0034165,           0.0034165,           0.0034165
                 135,            0.012875,           0.0052582,           0.0012299,             0.99655,                   1,               0.995,             0.92314,           0.0098185,            0.002193,           0.0004112,            0.003367,            0.003367,            0.003367
                 136,            0.013647,           0.0051574,           0.0013137,             0.99694,                   1,               0.995,             0.91217,           0.0089625,           0.0021838,          0.00040097,           0.0033175,           0.0033175,           0.0033175
                 137,             0.01406,           0.0051694,             0.00176,             0.99675,                   1,               0.995,              0.9303,           0.0095956,           0.0022293,          0.00040433,            0.003268,            0.003268,            0.003268
                 138,            0.014003,           0.0053924,           0.0013588,              0.9968,                   1,               0.995,              0.9225,           0.0090939,           0.0022905,          0.00041907,           0.0032185,           0.0032185,           0.0032185
                 139,            0.012757,           0.0048545,           0.0014343,             0.99693,                   1,               0.995,             0.92227,           0.0098201,            0.002339,          0.00041428,            0.003169,            0.003169,            0.003169
                 140,            0.013361,           0.0048076,           0.0010005,               0.997,                   1,               0.995,             0.90901,            0.010519,           0.0022506,          0.00040458,           0.0031195,           0.0031195,           0.0031195
                 141,            0.014845,           0.0056907,           0.0010327,             0.99728,                   1,               0.995,             0.91468,            0.008837,            0.002103,           0.0004033,             0.00307,             0.00307,             0.00307
                 142,            0.012992,           0.0048574,           0.0012722,             0.99614,                   1,               0.995,             0.92582,           0.0093061,           0.0020779,          0.00040816,           0.0030205,           0.0030205,           0.0030205
                 143,            0.012978,           0.0050484,           0.0011678,             0.99404,                   1,               0.995,             0.91515,           0.0096765,           0.0021346,          0.00046978,            0.002971,            0.002971,            0.002971
                 144,            0.013939,           0.0050951,           0.0019844,             0.96889,             0.99614,               0.995,             0.92413,           0.0096478,            0.002179,           0.0010068,           0.0029215,           0.0029215,           0.0029215
                 145,            0.013781,           0.0049501,           0.0015038,             0.99286,                   1,               0.995,             0.91321,            0.009439,           0.0020394,          0.00046742,            0.002872,            0.002872,            0.002872
                 146,            0.013273,           0.0055715,           0.0013019,              0.9971,                   1,               0.995,             0.92533,           0.0092136,           0.0020241,          0.00037354,           0.0028225,           0.0028225,           0.0028225
                 147,            0.013369,           0.0049804,           0.0023038,              0.9967,                   1,               0.995,             0.92309,           0.0091101,            0.002103,          0.00038077,            0.002773,            0.002773,            0.002773
                 148,            0.012769,           0.0048013,           0.0017562,             0.99696,                   1,               0.995,             0.92437,           0.0085809,           0.0021321,          0.00037662,           0.0027235,           0.0027235,           0.0027235
                 149,            0.013269,           0.0052402,            0.001039,             0.99732,                   1,               0.995,             0.92053,            0.010178,           0.0021921,          0.00036764,            0.002674,            0.002674,            0.002674
                 150,            0.013333,           0.0044695,           0.0013654,             0.99701,                   1,               0.995,             0.91691,           0.0099231,           0.0021306,          0.00035909,           0.0026245,           0.0026245,           0.0026245
                 151,            0.012461,           0.0049072,          0.00089272,             0.99693,                   1,               0.995,             0.92775,           0.0093568,           0.0021094,          0.00035906,            0.002575,            0.002575,            0.002575
                 152,            0.013073,           0.0049005,           0.0011847,             0.99659,                   1,               0.995,             0.92976,           0.0090792,           0.0021139,          0.00035595,           0.0025255,           0.0025255,           0.0025255
                 153,            0.011698,           0.0045445,          0.00064764,             0.99639,                   1,               0.995,             0.92575,            0.010224,           0.0021499,          0.00034143,            0.002476,            0.002476,            0.002476
                 154,            0.012543,           0.0047422,          0.00073737,             0.99642,                   1,               0.995,              0.9342,           0.0098873,           0.0020884,          0.00031886,           0.0024265,           0.0024265,           0.0024265
                 155,            0.012409,           0.0047748,            0.001699,             0.99669,                   1,               0.995,             0.92879,           0.0097193,           0.0020059,          0.00029764,            0.002377,            0.002377,            0.002377
